College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Gauhati Medical College and Hospital - [GMCH], Guwahati","6.7/10","Guwahati, Assam","MCI","-- MBBS",,"4.4 / 5 1 reviews"
"Indira Gandhi Institute of Medical Sciences - [IGIMS], Patna","6.7/10","Patna, Bihar","UGC","₹28.3 K / yr B.Sc (Medicine) - ...",,""
"MGM Medical College, Navi Mumbai","6.7/10","Navi Mumbai, Maharashtra","MCI, NAAC-A","₹7.65 L / yr MBBS - avg fee",,"3.6 / 5 5 reviews"
"Silchar Medical College - [SMC], Silchar","6.7/10","Silchar, Assam","MCI","₹20 K / yr MBBS - avg fee",,"3.2 / 5 1 reviews"
"Pravara Institute of Medical Sciences University - [PIMS], Ahmed Nagar","6.7/10","Ahmed Nagar, Maharashtra","UGC, MHRD","₹77 K / yr Bachelor of Physio...",,"3.5 / 5 1 reviews"
"North Bengal Medical College - [NBMC], Darjeeling","6.7/10","Darjeeling, West Bengal","MCI","₹8.18 K / yr MBBS - avg fee",,"4.4 / 5 3 reviews"
"Post Graduate Institute of Medical Education & Research - [PGIMER], Chandigarh","6.2/10","Chandigarh, Chandigarh","INC, MCI, UGC","₹700 / yr B.Sc (Nursing) - a...",,"4.9 / 5 1 reviews"
"Ranchi University, Ranchi","6.2/10","Ranchi, Jharkhand","UGC, NAAC-B","₹5 K / yr Diploma in Medical...",,""
"Indira Gandhi Government Medical College & Hospital - [IGGMCH], Nagpur","6.2/10","Nagpur, Maharashtra","MCI","₹74.7 K / yr MBBS - avg fee",,""
"Kalinga Institute of Medical Sciences - [KIMS], Bhubaneswar","6.0/10","Bhubaneswar, Orissa","MCI","₹2.41 L / yr MBBS - avg fee",,"3.9 / 5 1 reviews"
"Bhava Institute of Medical Science and Research - [BIMSR], Bhubaneswar","5.7/10","Bhubaneswar, Orissa","UGC","-- Bachelor of Physio...",,""
"Amrita School of Medicine, Kochi","5.7/10","Kochi, Kerala","MCI","₹12.8 L / yr MBBS - avg fee",,"3.9 / 5 1 reviews"
"Bharati Vidyapeeth Medical College - [BVMD], Pune","5.7/10","Pune, Maharashtra","MCI, NAAC","₹1 L / yr B.Sc (Medicine) - ...",,""
"Gandhi Medical College, Secunderabad","5.7/10","Secunderabad, Telangana","","₹37.5 K / yr MBBS - avg fee",,"3.3 / 5 1 reviews"
"NKP Salve Institute of Medical Sciences , Nagpur","5.7/10","Nagpur, Maharashtra","MCI","₹5 L / yr MBBS - avg fee",,"1.7 / 5 2 reviews"
"Sai Nath University, Ranchi","5.7/10","Ranchi, Jharkhand","UGC","₹40 K / yr Bachelor of Physio...",,"3.3 / 5 10 reviews"
"Jaipur National University - [JNU], Jaipur","5.7/10","Jaipur, Rajasthan","AICTE, NAAC, UGC","₹60.3 K / yr Bachelor of Physio...",,"3.5 / 5 49 reviews"
"Calcutta National Medical College - [CNMC], Kolkata","5.6/10","Kolkata, West Bengal","MCI","₹4.46 K / yr MBBS - avg fee",,"3.9 / 5 3 reviews"
"Central Institute of Psychiatry - [CIP], Ranchi","5.6/10","Ranchi, Jharkhand","MCI","-- MD",,""
"Vydehi Institute of Medical Sciences and Research Centre - [VIMS], Bangalore","5.4/10","Bangalore, Karnataka","DCI, MCI","₹2.57 L / yr B.Sc (Medicine) - ...",,"4 / 5 4 reviews"
"Datta Meghe Institute of Medical Sciences - [DMIMS], Nagpur","5.4/10","Nagpur, Maharashtra","NAAC-A","₹4.11 L / yr BAMS - avg fee",,"4.4 / 5 1 reviews"
"All India Institute of Medical Sciences - [AIIMS], Bhubaneswar","5.4/10","Bhubaneswar, Orissa","MCI","₹1.64 K / yr MBBS - avg fee",,""
"Chirayu Medical College and Hospital - [CMCH], Bhopal","5.4/10","Bhopal, Madhya Pradesh","","-- MBBS",,
"Nehru Homeopathic Medical College & Hospital, New Delhi","5.2/10","New Delhi, Delhi NCR","MCI","₹1.72 K / yr BHMS - avg fee",,""
"Dr DY Patil Medical College Hospital and Research Centre - [DYPMC], Pune","5.2/10","Pune, Maharashtra","MCI, NAAC-A","₹16.4 L / yr MBBS - avg fee",,"3.7 / 5 5 reviews"
"All India Institute of Medical Sciences - [AIIMS], Patna","5.2/10","Patna, Bihar","INC, MCI","₹1.61 K / yr MBBS - avg fee",,""
"Sri Muthukumaran Medical College Hospital and Research Institute - [SMMCHRI], Chennai","5.1/10","Chennai, Tamil Nadu","MCI","₹12.1 L / yr MBBS - avg fee",,""
"Kolkata Medical College, Kolkata","4.9/10","Kolkata, West Bengal","MCI","₹9 K / yr MBBS - avg fee",,"4.1 / 5 5 reviews"
"Government Kilpauk Medical College - [GKMC], Chennai","4.9/10","Chennai, Tamil Nadu","MCI","₹12.4 K / yr MBBS - avg fee",,"4 / 5 1 reviews"
"Jamia Hamdard University, New Delhi","4.9/10","New Delhi, Delhi NCR","MCI, AICTE, UGC, NAAC-A","₹94.7 K / yr Bachelor of Physio...",,"4 / 5 20 reviews"
"Rajiv Gandhi University of Health Sciences - [RGUHS], Bangalore","4.9/10","Bangalore, Karnataka","MCI, UGC","₹20 K / yr MBBS - avg fee",,""
"Sapthagiri Institute of Medical Sciences and Research Centre - [SIMSRC], Bangalore","4.9/10","Bangalore, Karnataka","MCI","₹55 K / yr Bachelor of Physio...",,""
"Jupiter Ayurved Medical College, Nagpur","4.6/10","Nagpur, Maharashtra","CCIM","₹1.02 L / yr BAMS - avg fee",,
"KPC Medical College and Hospital - [KPCMC&H], Kolkata","4.6/10","Kolkata, West Bengal","MCI","₹6.2 L / yr MBBS - avg fee",,"4.2 / 5 2 reviews"
